QLD,BRISBANE,07,30030000,30031999,07 30030000-30031999
QLD,BRISBANE,07,30127000,30129999,07 30127000-30129999
QLD,BRISBANE,07,30140500,30140899,07 30140500-30140899
QLD,BRISBANE,07,30150500,30150599,07 30150500-30150599
QLD,BRISBANE,07,30154900,30154999,07 30154900-30154999
QLD,BRISBANE,07,30159600,30159699,07 30159600-30159699
QLD,BRISBANE,07,30169900,30169999,07 30169900-30169999
QLD,BRISBANE,07,30180300,30180399,07 30180300-30180399
QLD,BRISBANE,07,30180400,30180499,07 30180400-30180499
QLD,BRISBANE,07,30180500,30180599,07 30180500-30180599
QLD,BRISBANE,07,30189000,30189099,07 30189000-30189099
QLD,BRISBANE,07,30189400,30189499,07 30189400-30189499
QLD,BRISBANE,07,30189900,30189999,07 30189900-30189999
QLD,BRISBANE,07,30367100,30367199,07 30367100-30367199
QLD,BRISBANE,07,30367500,30367599,07 30367500-30367599
QLD,BRISBANE,07,30382000,30382099,07 30382000-30382099
QLD,BRISBANE,07,30382200,30382299,07 30382200-30382299
QLD,BRISBANE,07,30382300,30382399,07 30382300-30382399
QLD,BRISBANE,07,30382600,30382699,07 30382600-30382699
QLD,BRISBANE,07,30383000,30383099,07 30383000-30383099
QLD,BRISBANE,07,30385000,30385099,07 30385000-30385099
QLD,BRISBANE,07,30385500,30385599,07 30385500-30385599
QLD,BRISBANE,07,30385700,30385799,07 30385700-30385799
QLD,BRISBANE,07,30385800,30385899,07 30385800-30385899
QLD,BRISBANE,07,30386000,30386099,07 30386000-30386099
QLD,BRISBANE,07,30386100,30386299,07 30386100-30386299
QLD,BRISBANE,07,30386300,30386399,07 30386300-30386399
QLD,BRISBANE,07,30386400,30386499,07 30386400-30386499
QLD,BRISBANE,07,30386500,30386599,07 30386500-30386599
QLD,BRISBANE,07,30386600,30386699,07 30386600-30386699
QLD,BRISBANE,07,30386700,30386799,07 30386700-30386799
QLD,BRISBANE,07,30386800,30386899,07 30386800-30386899
QLD,BRISBANE,07,30386900,30386999,07 30386900-30386999
QLD,BRISBANE,07,30387400,30387499,07 30387400-30387499
QLD,BRISBANE,07,30387500,30387599,07 30387500-30387599
QLD,BRISBANE,07,30388000,30388099,07 30388000-30388099
QLD,BRISBANE,07,30388200,30388299,07 30388200-30388299
QLD,BRISBANE,07,30388300,30388399,07 30388300-30388399
QLD,BRISBANE,07,30388700,30388799,07 30388700-30388799
QLD,BRISBANE,07,30388900,30388999,07 30388900-30388999
QLD,BRISBANE,07,30403400,30403499,07 30403400-30403499
QLD,BRISBANE,07,30417300,30417399,07 30417300-30417399
QLD,BRISBANE,07,30430000,30430099,07 30430000-30430099
QLD,BRISBANE,07,30430300,30430399,07 30430300-30430399
QLD,BRISBANE,07,30485100,30485199,07 30485100-30485199
QLD,BRISBANE,07,30485200,30485299,07 30485200-30485299
QLD,BRISBANE,07,30513800,30513899,07 30513800-30513899
QLD,BRISBANE,07,30911000,30911099,07 30911000-30911099
QLD,BRISBANE,07,30911100,30911199,07 30911100-30911199
QLD,BRISBANE,07,30922000,30922099,07 30922000-30922099
QLD,BRISBANE,07,30996900,30996999,07 30996900-30996999
QLD,BRISBANE,07,31001300,31001399,07 31001300-31001399
QLD,BRISBANE,07,31001600,31001699,07 31001600-31001699
QLD,BRISBANE,07,31007000,31007099,07 31007000-31007099
QLD,BRISBANE,07,31007700,31007799,07 31007700-31007799
QLD,BRISBANE,07,31008800,31008899,07 31008800-31008899
QLD,BRISBANE,07,31029600,31029699,07 31029600-31029699
QLD,BRISBANE,07,31037100,31037199,07 31037100-31037199
QLD,BRISBANE,07,31037700,31037799,07 31037700-31037799
QLD,BRISBANE,07,31050900,31050999,07 31050900-31050999
QLD,BRISBANE,07,31055500,31055599,07 31055500-31055599
QLD,BRISBANE,07,31059000,31059099,07 31059000-31059099
QLD,BRISBANE,07,31059100,31059199,07 31059100-31059199
QLD,BRISBANE,07,31073300,31073399,07 31073300-31073399
QLD,BRISBANE,07,31084100,31084199,07 31084100-31084199
QLD,BRISBANE,07,31086500,31086599,07 31086500-31086599
QLD,BRISBANE,07,31121800,31121899,07 31121800-31121899
QLD,BRISBANE,07,31127100,31127199,07 31127100-31127199
QLD,BRISBANE,07,31127500,31127599,07 31127500-31127599
QLD,BRISBANE,07,31128500,31128599,07 31128500-31128599
QLD,BRISBANE,07,31131000,31131199,07 31131000-31131199
QLD,BRISBANE,07,31132000,31132099,07 31132000-31132099
QLD,BRISBANE,07,31133000,31133099,07 31133000-31133099
QLD,BRISBANE,07,31133100,31133199,07 31133100-31133199
QLD,BRISBANE,07,31133200,31133299,07 31133200-31133299
QLD,BRISBANE,07,31133300,31133399,07 31133300-31133399
QLD,BRISBANE,07,31133400,31133499,07 31133400-31133499
QLD,BRISBANE,07,31133500,31133599,07 31133500-31133599
QLD,BRISBANE,07,31133600,31133699,07 31133600-31133699
QLD,BRISBANE,07,31133700,31133799,07 31133700-31133799
QLD,BRISBANE,07,31133800,31133899,07 31133800-31133899
QLD,BRISBANE,07,31133900,31133999,07 31133900-31133999
QLD,BRISBANE,07,31140000,31140099,07 31140000-31140099
QLD,BRISBANE,07,31142200,31142299,07 31142200-31142299
QLD,BRISBANE,07,31142500,31142599,07 31142500-31142599
QLD,BRISBANE,07,31152400,31152499,07 31152400-31152499
QLD,BRISBANE,07,31152500,31152599,07 31152500-31152599
QLD,BRISBANE,07,31170900,31170999,07 31170900-31170999
QLD,BRISBANE,07,31171300,31171399,07 31171300-31171399
QLD,BRISBANE,07,31172500,31172599,07 31172500-31172599
